Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Type
Ford,Mustang,7462000,4951,8.0,"Front, Longitudinal",60.9,Petrol,"Sedan, Coupe",Automatic
Jeep,Grand Cherokee,7882867,2987,6.0,"Front, Longitudinal",93.5,Diesel,SUV,Automatic
Jeep,Grand Cherokee,8931819,2987,6.0,"Front, Longitudinal",93.5,Diesel,SUV,Automatic
Jeep,Grand Cherokee,11400000,6417,8.0,"Front, Longitudinal",93.5,Petrol,SUV,Automatic
Jeep,Grand Cherokee,7515000,3604,6.0,"Front, Longitudinal",93.5,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz E-Class Cabriolet,7711338,2996,6.0,"Front, Longitudinal",80.0,Petrol,Convertible,0
Bmw,M2 Competition,8180000,2979,6.0,"Front, Longitudinal",52.0,Petrol,Coupe,Automatic
Porsche,718,8995000,1988,4.0,"Front, Longitudinal",54.0,Petrol,Convertible,Automatic
Porsche,718,8595000,1988,4.0,"Front, Longitudinal",54.0,Petrol,Coupe,Automatic
Mercedes,Mercedes-Benz Gls,8820000,2987,6.0,"Front, Longitudinal",100.0,Diesel,SUV,Automatic
Mercedes,Mercedes-Benz Gls,19199181,5461,8.0,"Front, Longitudinal",80.0,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz Gls,8776900,2996,8.0,"Front, Longitudinal",80.0,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz Gls,8690000,2996,8.0,"Front, Longitudinal",80.0,Petrol,SUV,Automatic
Mercedes,Mercedes-Benz Gls,8690000,2987,6.0,"Front, Longitudinal",100.0,Diesel,SUV,Automatic
Toyota,Land Cruiser Prado,9630000,2982,4.0,"Front, Longitudinal",87.0,Diesel,SUV,Automatic
Lexus,Rx 450H,9900000,3456,6.0,"Front, Transverse",65.0,Petrol,SUV,Automatic
Audi,Rs5,11141200,2894,8.0,"Front, Transverse",58.0,Petrol,Coupe,Automatic
Bmw,7-Series,12290000,2993,6.0,"Front, Longitudinal",78.0,Diesel,Sedan,Automatic
Bmw,7-Series,13200000,2993,6.0,"Front, Longitudinal",78.0,Diesel,Sedan,Automatic
